Time stamp;Vehicle;Speed
2024-09-01 06:02;BUS;33
2024-09-01 06:11;CAR;50
2024-09-01 06:18;MOTORCYCLE;107
2024-09-01 06:24;CAR;101
2024-09-01 06:33;TRUCK;94
2024-09-01 06:38;BUS;98
2024-09-01 06:43;CAR;53
2024-09-01 06:48;MOTORCYCLE;51
2024-09-01 06:48;MOTORCYCLE;61
2024-09-01 06:58;CAR;82
2024-09-01 06:59;MOTORCYCLE;95
2024-09-01 07:03;CAR;127
2024-09-01 07:07;TRUCK;49
2024-09-01 07:11;CAR;88
2024-09-01 07:19;MOTORCYCLE;80
2024-09-01 07:29;BUS;90
2024-09-01 07:35;MOTORCYCLE;72
2024-09-01 07:44;CAR;64
2024-09-01 07:51;TRUCK;114
2024-09-01 07:58;CAR;56
2024-09-01 08:02;TRUCK;74
2024-09-01 08:11;TRUCK;55
2024-09-01 08:14;TRUCK;66
2024-09-01 08:22;MOTORCYCLE;71
2024-09-01 08:22;TRUCK;44
2024-09-01 08:30;BUS;92
2024-09-01 08:37;CAR;100
2024-09-01 08:41;CAR;66
2024-09-01 08:45;BUS;102
2024-09-01 08:55;CAR;120
2024-09-01 09:00;TRUCK;94
2024-09-01 09:06;MOTORCYCLE;48
2024-09-01 09:14;TRUCK;39
2024-09-01 09:20;MOTORCYCLE;124
2024-09-01 09:28;BUS;67
2024-09-01 09:36;MOTORCYCLE;89
2024-09-01 09:42;TRUCK;35
2024-09-01 09:43;CAR;92
2024-09-01 09:47;TRUCK;123
2024-09-01 09:49;CAR;117
2024-09-01 09:49;TRUCK;68
2024-09-01 09:56;BUS;63
2024-09-01 10:01;MOTORCYCLE;57
2024-09-01 10:05;BUS;47
2024-09-01 10:14;CAR;54
2024-09-01 10:22;CAR;67
2024-09-01 10:31;CAR;78
2024-09-01 10:35;CAR;59
2024-09-01 10:36;TRUCK;89
2024-09-01 10:36;TRUCK;39
2024-09-01 10:37;BUS;37
2024-09-01 10:42;BUS;128
2024-09-01 10:43;CAR;87
2024-09-01 10:50;TRUCK;58
2024-09-01 10:56;CAR;58
2024-09-01 11:02;CAR;127
2024-09-01 11:03;MOTORCYCLE;43
2024-09-01 11:10;BUS;83
2024-09-01 11:14;BUS;116
2024-09-01 11:20;BUS;83
2024-09-01 11:23;TRUCK;58
2024-09-01 11:30;MOTORCYCLE;78
2024-09-01 11:39;TRUCK;122
2024-09-01 11:40;TRUCK;88
2024-09-01 11:42;MOTORCYCLE;82
2024-09-01 11:49;TRUCK;92
2024-09-01 11:52;MOTORCYCLE;80
2024-09-01 11:57;CAR;88
2024-09-01 12:04;CAR;110
2024-09-01 12:10;MOTORCYCLE;97
2024-09-01 12:17;BUS;46
2024-09-01 12:24;CAR;62
2024-09-01 12:32;MOTORCYCLE;86
2024-09-01 12:34;CAR;56
2024-09-01 12:36;TRUCK;115
2024-09-01 12:43;CAR;101
2024-09-01 12:50;CAR;69
2024-09-01 12:56;MOTORCYCLE;61
2024-09-01 13:04;MOTORCYCLE;118
2024-09-01 13:08;MOTORCYCLE;117
2024-09-01 13:09;TRUCK;106
2024-09-01 13:17;BUS;98
2024-09-01 13:19;CAR;38
2024-09-01 13:24;CAR;85
2024-09-01 13:33;CAR;103
2024-09-01 13:43;CAR;56
2024-09-01 13:46;BUS;61
2024-09-01 13:52;TRUCK;93
2024-09-01 14:01;TRUCK;95
2024-09-01 14:07;TRUCK;84
2024-09-01 14:11;MOTORCYCLE;73
2024-09-01 14:17;MOTORCYCLE;43
2024-09-01 14:20;CAR;54
2024-09-01 14:27;CAR;30
2024-09-01 14:28;TRUCK;74
2024-09-01 14:34;CAR;123
2024-09-01 14:42;BUS;43
2024-09-01 14:50;CAR;67
2024-09-01 14:53;CAR;60
2024-09-01 14:58;TRUCK;128
2024-09-01 15:03;TRUCK;94
2024-09-01 15:04;CAR;44
2024-09-01 15:12;TRUCK;38
2024-09-01 15:20;MOTORCYCLE;98
2024-09-01 15:21;MOTORCYCLE;127
2024-09-01 15:26;BUS;99
2024-09-01 15:29;CAR;125
2024-09-01 15:33;CAR;47
2024-09-01 15:43;CAR;123
2024-09-01 15:49;TRUCK;53
2024-09-01 15:58;TRUCK;54
